recId,SeqNumber,seqLength,lat,lng,displayState,displayCity,performanceImpressions
480,1,1,31.41573,-92.41182,LA,Ball,1
698,1,1,31.73971,-99.94715,TX,Ballinger,65
487,1,1,30.48577,-92.59411,LA,Basile,1
366,1,1,32.77825,-91.91503,LA,Bastrop,17
771,1,1,30.11054,-97.31938,TX,Bastrop,10
536,1,1,34.31752,-89.95366,MS,Batesville,69
655,1,1,34.31752,-89.95366,MS,Batesville,1
226,1,1,30.44335,-91.18664,LA,Baton Rouge,"2,233"
266,1,1,30.44335,-91.18664,LA,Baton Rouge,261
30,1,1,30.88302,-87.77349,AL,Bay Minette,12
587,1,1,31.98287,-89.28874,MS,Bay Springs,9
641,1,1,31.98287,-89.28874,MS,Bay Springs,1
497,1,1,30.31621,-89.34846,MS,Bay St Louis,649
582,1,1,30.31621,-89.34846,MS,Bay St Louis,10
819,1,1,29.72859,-94.99659,TX,Baytown,3
677,1,1,30.08616,-94.10135,TX,Beaumont,288
686,1,1,30.08616,-94.10135,TX,Beaumont,103
858,1,1,32.84054,-97.14186,TX,Bedford,1
694,1,1,28.40204,-97.74936,TX,Beeville,74
247,1,1,29.85057,-89.98744,LA,Belle Chasse,477
311,1,1,29.85057,-89.98744,LA,Belle Chasse,68
332,1,1,30.05347,-91.04667,LA,Belle Rose,45
467,1,1,30.05347,-91.04667,LA,Belle Rose,1
222,1,1,29.05997,-82.05914,FL,Belleview,1
373,1,1,32.69763,-93.74125,LA,Benton,15
471,1,1,32.69763,-93.74125,LA,Benton,1
421,1,1,32.82175,-92.65745,LA,Bernice,4
459,1,1,29.69423,-91.22025,LA,Berwick,1
806,1,1,32.25031,-101.47909,TX,Big Spring,4
495,1,1,30.39438,-88.89639,MS,Biloxi,983
563,1,1,30.39438,-88.89639,MS,Biloxi,23
3,1,1,33.52068,-86.81176,AL,Birmingham,244
37,1,1,34.19765,-86.16563,AL,Boaz,7
387,1,1,30.79062,-89.8643,LA,Bogalusa,9
620,1,1,31.43836,-90.44918,MS,Bogue Chitto,2
648,1,1,31.43836,-90.44918,MS,Bogue Chitto,1
656,1,1,34.65458,-88.56374,MS,Booneville,1
722,1,1,35.66796,-101.39044,TX,Borger,30
353,1,1,32.51594,-93.73539,LA,Bossier City,23
432,1,1,32.51594,-93.73539,LA,Bossier City,2
251,1,1,29.5538,-90.60596,LA,Bourg,414
267,1,1,29.5538,-90.60596,LA,Bourg,247
113,1,1,26.52891,-80.0627,FL,Boynton Beach,55
807,1,1,29.31125,-100.41722,TX,Brackettville,4
129,1,1,27.4955,-82.57807,FL,Bradenton,25
148,1,1,27.94025,-82.32567,FL,Brandon,15
515,1,1,32.27313,-89.98891,MS,Brandon,197
626,1,1,32.27313,-89.98891,MS,Brandon,2
253,1,1,30.27331,-91.89962,LA,Breaux Bridge,408
269,1,1,30.27331,-91.89962,LA,Breaux Bridge,218
878,1,1,30.0213,-93.84585,TX,Bridge City,1
880,1,1,33.21043,-97.75854,TX,Bridgeport,1
190,1,1,29.44624,-82.6363,FL,Bronson,2
566,1,1,31.57935,-90.44149,MS,Brookhaven,19
643,1,1,31.57935,-90.44149,MS,Brookhaven,1
887,1,1,29.78632,-95.95621,TX,Brookshire,1
287,1,1,30.14824,-91.96501,LA,Broussard,127
390,1,1,30.14824,-91.96501,LA,Broussard,8
908,1,1,32.30345,-95.60704,TX,Brownsboro,
817,1,1,25.9021,-97.49924,TX,Brownsville,3
881,1,1,30.43457,-93.96307,TX,Buna,1
245,1,1,29.35866,-89.53223,LA,Buras,487
276,1,1,29.35866,-89.53223,LA,Buras,172
902,1,1,34.07787,-98.55596,TX,Burkburnett,1
813,1,1,32.56313,-97.32166,TX,Burleson,3
874,1,1,34.07016,-98.19011,TX,Byers,1
635,1,1,34.86934,-89.68865,MS,Byhalia,1
638,1,1,34.86934,-89.68865,MS,Byhalia,1
546,1,1,32.19835,-90.281,MS,Byram,38
824,1,1,30.53239,-96.6929,TX,Caldwell,3
293,1,1,32.51069,-92.35834,LA,Calhoun,114
378,1,1,32.51069,-92.35834,LA,Calhoun,13
374,1,1,29.79745,-93.32561,LA,Cameron,15
839,1,1,30.85325,-96.97704,TX,Cameron,2
564,1,1,32.61259,-90.03472,MS,Canton,20
847,1,1,32.55593,-95.8613,TX,Canton,2
868,1,1,32.55593,-95.8613,TX,Canton,1
110,1,1,30.6085,-87.32712,FL,Cantonment,57
212,1,1,30.6085,-87.32712,FL,Cantonment,1
859,1,1,34.98561,-101.93627,TX,Canyon,1
351,1,1,30.32196,-92.04387,LA,Carencro,25
418,1,1,30.32196,-92.04387,LA,Carencro,4
524,1,1,30.62216,-89.65306,MS,Carriere,116
569,1,1,30.62216,-89.65306,MS,Carriere,17
735,1,1,32.97556,-96.89023,TX,Carrollton,24
548,1,1,32.7483,-89.53833,MS,Carthage,37
572,1,1,32.7483,-89.53833,MS,Carthage,15
674,1,1,29.35685,-98.8715,TX,Castroville,366
750,1,1,32.58866,-96.95596,TX,Cedar Hill,17
871,1,1,33.2944,-96.19799,TX,Celeste,1
841,1,1,33.32402,-96.7866,TX,Celina,2
870,1,1,31.79616,-94.17971,TX,Center,1
828,1,1,31.25799,-95.9781,TX,Centerville,3
294,1,1,29.94148,-89.97346,LA,Chalmette,111
406,1,1,29.94148,-89.97346,LA,Chalmette,6
756,1,1,29.77764,-95.11248,TX,Channelview,15
229,1,1,29.43746,-90.59535,LA,Chauvin,"1,377"
231,1,1,29.43746,-90.59535,LA,Chauvin,959
901,1,1,30.04732,-94.33519,TX,China,1
301,1,1,30.40672,-92.21808,LA,Church Point,94
383,1,1,30.40672,-92.21808,LA,Church Point,11
48,1,1,31.09434,-88.23811,AL,Citronelle,3
611,1,1,34.19458,-90.56492,MS,Clarksdale,3
658,1,1,34.19458,-90.56492,MS,Clarksdale,1
175,1,1,27.96558,-82.79975,FL,Clearwater,6
207,1,1,27.96558,-82.79975,FL,Clearwater,1
889,1,1,32.3504,-97.3876,TX,Cleburne,1
120,1,1,28.5513,-81.76647,FL,Clermont,31
545,1,1,33.74746,-90.71703,MS,Cleveland,42
248,1,1,30.86623,-91.01784,LA,Clinton,464
551,1,1,32.33766,-90.32943,MS,Clinton,32
707,1,1,29.0187,-95.39417,TX,Clute,48
215,1,1,28.35167,-80.72618,FL,Cocoa,1
216,1,1,28.35167,-80.72618,FL,Cocoa,1
200,1,1,28.31811,-80.61007,FL,Cocoa Beach,2
719,1,1,30.62055,-96.3259,TX,College Station,33
907,1,1,32.88461,-97.15699,TX,Colleyville,
614,1,1,31.6434,-89.55756,MS,Collins,3
644,1,1,32.49865,-88.8455,MS,Collinsville,1
721,1,1,32.38815,-100.86104,TX,Colorado City,31
605,1,1,31.25082,-89.83316,MS,Columbia,4
654,1,1,31.25082,-89.83316,MS,Columbia,1
556,1,1,33.49507,-88.42855,MS,Columbus,30
622,1,1,33.49507,-88.42855,MS,Columbus,2
848,1,1,31.89741,-98.6033,TX,Comanche,2
899,1,1,33.05834,-95.47344,TX,Como,1
754,1,1,30.31217,-95.45594,TX,Conroe,15
883,1,1,30.31217,-95.45594,TX,Conroe,1
856,1,1,31.12417,-97.90363,TX,Copperas Cove,1
573,1,1,34.92913,-88.53096,MS,Corinth,15
617,1,1,34.92913,-88.53096,MS,Corinth,3
687,1,1,27.79642,-97.40374,TX,Corpus Christi,100
433,1,1,30.98639,-92.05421,LA,Cottonport,2
252,1,1,30.48014,-90.09541,LA,Covington,412
402,1,1,30.48014,-90.09541,LA,Covington,7
180,1,1,30.17629,-84.37525,FL,Crawfordville,5
331,1,1,29.8246,-93.1111,LA,Creole,45
404,1,1,29.8246,-93.1111,LA,Creole,6
134,1,1,30.76183,-86.57102,FL,Crestview,21
798,1,1,31.31775,-95.45726,TX,Crockett,5
780,1,1,29.90657,-95.06501,TX,Crosby,8
213,1,1,29.63656,-83.12884,FL,Cross City,1
280,1,1,30.21079,-92.37166,LA,Crowley,149
354,1,1,30.21079,-92.37166,LA,Crowley,23
906,1,1,32.57904,-97.35793,TX,Crowley,1
744,1,1,33.1375,-95.84001,TX,Cumby,19
52,1,1,32.78522,-85.30584,AL,Cusseta,3
227,1,1,29.54078,-90.33621,LA,Cut Off,"2,002"
237,1,1,29.54078,-90.33621,LA,Cut Off,723
746,1,1,29.9758,-95.67793,TX,Cypress,19
783,1,1,29.9758,-95.67793,TX,Cypress,7
525,1,1,30.44523,-88.89999,MS,D'Iberville,113
810,1,1,36.05932,-102.52256,TX,Dalhart,4
663,1,1,32.77816,-96.7954,TX,Dallas,"5,954"
669,1,1,32.77816,-96.7954,TX,Dallas,901
10,1,1,30.6039,-87.90151,AL,Daphne,55
147,1,1,28.158,-81.6034,FL,Davenport,15
742,1,1,30.04501,-94.88825,TX,Dayton,19
122,1,1,29.20358,-81.0394,FL,Daytona Beach,30
54,1,1,32.60942,-86.39802,AL,Deatsville,2
23,1,1,34.6074,-86.9798,AL,Decatur,22
657,1,1,32.43887,-89.11294,MS,Decatur,1
896,1,1,33.23475,-97.586,TX,Decatur,1
173,1,1,26.32004,-80.09979,FL,Deerfield Beach,6
124,1,1,30.72103,-86.11019,FL,Defuniak Springs,30
102,1,1,29.02762,-81.30544,FL,DeLand,79
221,1,1,29.02762,-81.30544,FL,DeLand,1
443,1,1,32.45712,-91.49171,LA,Delhi,2
115,1,1,26.46437,-80.07418,FL,Delray Beach,47
86,1,1,28.93222,-81.22335,FL,Deltona,259
242,1,1,30.48704,-90.95545,LA,Denham Springs,528
324,1,1,30.48704,-90.95545,LA,Denham Springs,54
753,1,1,33.2166,-97.13162,TX,Denton,16
393,1,1,30.84735,-93.28897,LA,Deridder,7
797,1,1,32.60563,-96.85705,TX,Desoto,5
143,1,1,30.3933,-86.49567,FL,Destin,17
328,1,1,29.95665,-90.38855,LA,Destrehan,51
456,1,1,29.95665,-90.38855,LA,Destrehan,1
503,1,1,30.37992,-89.36695,MS,Diamondhead,427
577,1,1,30.37992,-89.36695,MS,Diamondhead,13
368,1,1,30.1056,-90.98546,LA,Donaldsonville,16
479,1,1,30.1056,-90.98546,LA,Donaldsonville,1
47,1,1,31.22326,-85.39338,AL,Dothan,3
844,1,1,30.1916,-98.07975,TX,Dripping Springs,2
304,1,1,29.38961,-90.71384,LA,Dulac,86
312,1,1,29.38961,-90.71384,LA,Dulac,68
769,1,1,35.84536,-101.97342,TX,Dumas,11
851,1,1,32.64622,-96.90502,TX,Duncanville,2
903,1,1,32.64622,-96.90502,TX,Duncanville,1
202,1,1,29.04767,-82.46289,FL,Dunnellon,2
757,1,1,29.58074,-96.32057,TX,Eagle Lake,14
829,1,1,29.58074,-96.32057,TX,Eagle Lake,3
72,1,1,33.60397,-86.01984,AL,Eastaboga,1
187,1,1,28.99406,-80.90542,FL,Edgewater,3
696,1,1,26.30118,-98.16081,TX,Edinburg,72
751,1,1,29.21805,-96.28796,TX,El Campo,17
727,1,1,31.75917,-106.48749,TX,El Paso,28
511,1,1,31.60358,-89.19386,MS,Ellisville,235
589,1,1,31.60358,-89.19386,MS,Ellisville,9
812,1,1,29.25651,-98.33467,TX,Elmendorf,3
415,1,1,31.13288,-92.68201,LA,Elmer,4
460,1,1,30.48132,-92.69541,LA,Elton,1
898,1,1,32.87482,-95.76523,TX,Emory,1
814,1,1,32.32955,-96.6237,TX,Ennis,3
35,1,1,31.31516,-85.85462,AL,Enterprise,8
540,1,1,32.17578,-88.82222,MS,Enterprise,51
631,1,1,32.17578,-88.82222,MS,Enterprise,2
436,1,1,29.95793,-92.03431,LA,Erath,2
357,1,1,32.39399,-92.42203,LA,Eros,21
475,1,1,30.79008,-91.13091,LA,Ethel,1
778,1,1,32.83966,-97.09146,TX,Euless,8
857,1,1,32.83966,-97.09146,TX,Euless,1
255,1,1,30.49215,-92.41517,LA,Eunice,383
292,1,1,30.49215,-92.41517,LA,Eunice,119
4,1,1,30.53768,-87.8863,AL,Fairhope,229
32,1,1,30.53768,-87.8863,AL,Fairhope,12
151,1,1,30.66998,-81.46363,FL,Fernandina Beach,14
457,1,1,31.62991,-91.5549,LA,Ferriday,1
884,1,1,29.97602,-98.26502,TX,Fischer,1
128,1,1,30.10216,-81.71962,FL,Fleming Island,25
50,1,1,34.80061,-87.67489,AL,Florence,3
528,1,1,32.15349,-90.13121,MS,Florence,106
427,1,1,31.44472,-93.45743,LA,Florien,3
448,1,1,31.44472,-93.45743,LA,Florien,1
7,1,1,30.40608,-87.6838,AL,Foley,104
9,1,1,30.40608,-87.6838,AL,Foley,58
399,1,1,30.63082,-90.1879,LA,Folsom,7
89,1,1,26.12388,-80.14357,FL,Fort Lauderdale,182
172,1,1,26.64085,-81.86793,FL,Fort Myers,7
118,1,1,30.40424,-86.6153,FL,Fort Walton Beach,33
158,1,1,29.92309,-82.71224,FL,Fort White,10
664,1,1,32.75095,-97.33086,TX,Fort Worth,"2,543"
671,1,1,32.75095,-97.33086,TX,Fort Worth,453
250,1,1,29.79226,-91.49765,LA,Franklin,417
300,1,1,29.79226,-91.49765,LA,Franklin,95
333,1,1,30.84778,-90.15387,LA,Franklinton,43
442,1,1,30.84778,-90.15387,LA,Franklinton,2
700,1,1,28.9496,-95.34436,TX,Freeport,63
710,1,1,29.53001,-95.20024,TX,Friendswood,40
823,1,1,34.64203,-102.72443,TX,Friona,3
714,1,1,33.15048,-96.83466,TX,Frisco,37
117,1,1,28.86148,-81.9115,FL,Fruitland Park,34
533,1,1,34.2736,-88.40859,MS,Fulton,87
64,1,1,33.60822,-86.7974,AL,Fultondale,1
104,1,1,29.65195,-82.32279,FL,Gainesville,78
763,1,1,33.62427,-97.14302,TX,Gainesville,13
258,1,1,29.4355,-90.29842,LA,Galliano,340
699,1,1,29.29533,-94.80791,TX,Galveston,64
834,1,1,29.04224,-96.51584,TX,Ganado,2
39,1,1,33.6516,-86.81143,AL,Gardendale,7
685,1,1,32.91428,-96.63655,TX,Garland,108
732,1,1,31.43491,-97.74369,TX,Gatesville,25
531,1,1,30.39189,-88.65174,MS,Gautier,100
588,1,1,30.39189,-88.65174,MS,Gautier,9
831,1,1,30.63791,-97.67701,TX,Georgetown,3
363,1,1,29.68877,-90.99094,LA,Gibson,19
416,1,1,29.68877,-90.99094,LA,Gibson,4
361,1,1,30.9763,-92.58504,LA,Glenmora,19
350,1,1,29.38892,-90.26447,LA,Golden Meadow,26
261,1,1,30.239,-90.92075,LA,Gonzales,294
424,1,1,30.239,-90.92075,LA,Gonzales,3
900,1,1,31.43754,-100.40981,TX,Goodfellow Air Force Base,1
446,1,1,30.04755,-90.68942,LA,Gramercy,1
58,1,1,30.47801,-88.33977,AL,Grand Bay,2
249,1,1,29.76667,-92.97551,LA,Grand Chenier,445
283,1,1,29.76667,-92.97551,LA,Grand Chenier,138
738,1,1,32.7477,-97.0072,TX,Grand Prairie,22
782,1,1,32.7477,-97.0072,TX,Grand Prairie,7
759,1,1,32.93949,-97.07839,TX,Grapevine,14
319,1,1,29.69805,-90.78763,LA,Gray,56
426,1,1,29.69805,-90.78763,LA,Gray,3
398,1,1,32.04961,-92.10952,LA,Grayson,7
386,1,1,30.82941,-90.66714,LA,Greensburg,9
60,1,1,31.82945,-86.63361,AL,Greenville,1
544,1,1,33.39896,-91.03778,MS,Greenville,44
598,1,1,33.39896,-91.03778,MS,Greenville,6
341,1,1,30.58357,-90.99547,LA,Greenwell Springs,31
590,1,1,33.51711,-90.18039,MS,Greenwood,9
649,1,1,33.51711,-90.18039,MS,Greenwood,1
529,1,1,33.78399,-89.81,MS,Grenada,103
625,1,1,33.78399,-89.81,MS,Grenada,2
244,1,1,29.91666,-90.06569,LA,Gretna,498
265,1,1,29.91666,-90.06569,LA,Gretna,274
701,1,1,29.94566,-93.91968,TX,Groves,59
800,1,1,29.94566,-93.91968,TX,Groves,5
472,1,1,30.02518,-92.51376,LA,Gueydan,1
125,1,1,30.35604,-87.16845,FL,Gulf Breeze,29
8,1,1,30.27754,-87.68309,AL,Gulf Shores,73
488,1,1,30.38032,-89.09189,MS,Gulfport,"7,155"
492,1,1,30.38032,-89.09189,MS,Gulfport,"2,413"
75,1,1,34.35144,-86.29894,AL,Guntersville,1
579,1,1,34.44548,-88.65823,MS,Guntown,10
197,1,1,28.10668,-81.62685,FL,Haines City,2
241,1,1,30.50418,-90.45846,LA,Hammond,530
408,1,1,30.50418,-90.45846,LA,Hammond,6
678,1,1,26.18986,-97.69555,TX,Harlingen,241
240,1,1,29.90823,-90.08124,LA,Harvey,559
342,1,1,29.90823,-90.08124,LA,Harvey,31
491,1,1,31.32736,-89.29072,MS,Hattiesburg,"2,478"
516,1,1,31.32736,-89.29072,MS,Hattiesburg,167
629,1,1,31.88693,-88.98564,MS,Heidelberg,2
661,1,1,31.88693,-88.98564,MS,Heidelberg,1
893,1,1,32.15326,-94.79927,TX,Henderson,1
602,1,1,34.82353,-89.99727,MS,Hernando,6
645,1,1,34.82353,-89.99727,MS,Hernando,1
371,1,1,31.05628,-92.1221,LA,Hessmer,15
94,1,1,25.82698,-80.2815,FL,Hialeah,143
271,1,1,30.50401,-90.66958,LA,Holden,214
348,1,1,30.50401,-90.66958,LA,Holden,28
40,1,1,34.72485,-85.97338,AL,Hollywood,6
90,1,1,26.01041,-80.16008,FL,Hollywood,182
181,1,1,25.47656,-80.46548,FL,Homestead,5
843,1,1,29.34759,-99.14081,TX,Hondo,2
224,1,1,29.59733,-90.71913,LA,Houma,"2,869"
257,1,1,29.59733,-90.71913,LA,Houma,362
662,1,1,29.76059,-95.36968,TX,Houston,"10,001"
667,1,1,29.76059,-95.36968,TX,Houston,"1,571"
206,1,1,28.3642,-82.69511,FL,Hudson,1
702,1,1,30.00019,-95.26862,TX,Humble,56
822,1,1,30.72378,-95.55218,TX,Huntsville,3
853,1,1,32.84106,-97.18618,TX,Hurst,2
352,1,1,30.63719,-90.50103,LA,Independence,24
407,1,1,30.63719,-90.50103,LA,Independence,6
595,1,1,33.45084,-90.64494,MS,Indianola,6
865,1,1,27.8812,-97.20891,TX,Ingleside,1
111,1,1,28.83546,-82.33115,FL,Inverness,57
445,1,1,30.33121,-92.49475,LA,Iota,2
447,1,1,30.33121,-92.49475,LA,Iota,1
473,1,1,30.24001,-93.01366,LA,Iowa,1
666,1,1,32.81352,-96.95551,TX,Irving,"1,868"
675,1,1,32.81352,-96.95551,TX,Irving,349
31,1,1,30.51541,-88.22136,AL,Irvington,12
185,1,1,24.9603,-80.56789,FL,Islamorada,3
71,1,1,31.50834,-87.89501,AL,Jackson,1
347,1,1,30.83696,-91.21391,LA,Jackson,30
431,1,1,30.83696,-91.21391,LA,Jackson,2
494,1,1,32.29886,-90.18045,MS,Jackson,"1,040"
535,1,1,32.29886,-90.18045,MS,Jackson,74
17,1,1,33.81422,-85.76118,AL,Jacksonville,26
74,1,1,33.81422,-85.76118,AL,Jacksonville,1
85,1,1,30.33147,-81.65622,FL,Jacksonville,266
214,1,1,30.33147,-81.65622,FL,Jacksonville,1
693,1,1,31.96318,-95.2703,TX,Jacksonville,79
772,1,1,30.9216,-93.99686,TX,Jasper,10
850,1,1,30.9216,-93.99686,TX,Jasper,2
217,1,1,30.95157,-87.15102,FL,Jay,1
356,1,1,29.9124,-91.66473,LA,Jeanerette,22
836,1,1,32.76221,-94.35496,TX,Jefferson,2
338,1,1,31.68308,-92.13284,LA,Jena,39
396,1,1,31.68308,-92.13284,LA,Jena,7
278,1,1,30.2208,-92.6583,LA,Jennings,160
395,1,1,30.2208,-92.6583,LA,Jennings,7
422,1,1,32.24486,-92.71207,LA,Jonesboro,3
876,1,1,33.08872,-97.30296,TX,Justin,1
284,1,1,29.998,-92.28492,LA,Kaplan,137
325,1,1,29.998,-92.28492,LA,Kaplan,54
711,1,1,32.66698,-94.17041,TX,Karnack,39
726,1,1,32.66698,-94.17041,TX,Karnack,29
706,1,1,29.78773,-95.82333,TX,Katy,48
815,1,1,32.93087,-97.22646,TX,Keller,3
860,1,1,32.4429,-96.23004,TX,Kemp,1
263,1,1,29.9902,-90.242,LA,Kenner,286
458,1,1,29.9902,-90.242,LA,Kenner,1
425,1,1,30.93683,-90.50985,LA,Kentwood,3
465,1,1,30.93683,-90.50985,LA,Kentwood,1
219,1,1,24.5545,-81.80023,FL,Key West,1
897,1,1,32.38028,-94.86904,TX,Kilgore,1
724,1,1,31.1169,-97.72737,TX,Killeen,30
852,1,1,31.1169,-97.72737,TX,Killeen,2
534,1,1,30.41144,-89.43465,MS,Kiln,78
485,1,1,30.48732,-92.84834,LA,Kinder,1
849,1,1,30.66152,-93.89386,TX,Kirbyville,2
83,1,1,28.29443,-81.40674,FL,Kissimmee,395
736,1,1,30.37614,-94.31396,TX,Kountze,23
890,1,1,29.98836,-97.87736,TX,Kyle,1
723,1,1,29.37096,-94.97177,TX,La Marque,30
861,1,1,29.65249,-95.0248,TX,La Porte,1
441,1,1,29.83913,-90.95464,LA,Labadieville,2
307,1,1,30.31204,-89.93912,LA,Lacombe,76
155,1,1,28.93257,-81.92833,FL,Lady Lake,12
228,1,1,30.22033,-92.01705,LA,Lafayette,"1,737"
264,1,1,30.22033,-92.01705,LA,Lafayette,274
358,1,1,30.08049,-92.67184,LA,Lake Arthur,20
243,1,1,30.22403,-93.22011,LA,Lake Charles,504
405,1,1,30.22403,-93.22011,LA,Lake Charles,6
734,1,1,29.03437,-95.44631,TX,Lake Jackson,25
131,1,1,28.75641,-81.32345,FL,Lake Mary,22
179,1,1,26.61627,-80.05724,FL,Lake Worth,5
93,1,1,28.04419,-81.94787,FL,Lakeland,166
196,1,1,28.04419,-81.94787,FL,Lakeland,2
285,1,1,30.0652,-90.48198,LA,Laplace,131
397,1,1,30.0652,-90.48198,LA,Laplace,7
862,1,1,27.53092,-99.50223,TX,Laredo,1
184,1,1,27.91604,-82.79086,FL,Largo,4
236,1,1,29.56968,-90.38093,LA,Larose,725
268,1,1,29.56968,-90.38093,LA,Larose,234
500,1,1,31.69682,-89.13518,MS,Laurel,609
561,1,1,31.69682,-89.13518,MS,Laurel,27
765,1,1,29.50328,-95.09341,TX,League City,11
634,1,1,31.15716,-88.55969,MS,Leakesville,2
692,1,1,30.57912,-97.85304,TX,Leander,82
55,1,1,34.17942,-85.76085,AL,Leesburg,2
146,1,1,28.81111,-81.87728,FL,Leesburg,15
336,1,1,31.14326,-93.2644,LA,Leesville,40
469,1,1,31.14326,-93.2644,LA,Leesville,1
171,1,1,26.60645,-81.64507,FL,Lehigh Acres,7
612,1,1,33.40414,-90.89881,MS,Leland,3
846,1,1,33.37966,-96.24553,TX,Leonard,2
789,1,1,33.04722,-96.99593,TX,Lewisville,6
599,1,1,31.15812,-90.80945,MS,Liberty,6
618,1,1,31.15812,-90.80945,MS,Liberty,2
845,1,1,30.66405,-97.92203,TX,Liberty Hill,2
53,1,1,33.60387,-86.11953,AL,Lincoln,2
177,1,1,27.86266,-82.17029,FL,Lithia,5
320,1,1,30.50311,-90.75288,LA,Livingston,56
355,1,1,30.50311,-90.75288,LA,Livingston,23
785,1,1,29.88476,-97.67193,TX,Lockhart,7
282,1,1,29.64634,-90.53668,LA,Lockport,139
334,1,1,29.64634,-90.53668,LA,Lockport,43
489,1,1,30.35451,-89.14784,MS,Long Beach,"5,050"
490,1,1,30.35451,-89.14784,MS,Long Beach,"3,991"
720,1,1,32.50064,-94.74061,TX,Longview,32
802,1,1,32.50064,-94.74061,TX,Longview,4
132,1,1,28.70016,-81.34678,FL,Longwood,22
466,1,1,30.63567,-90.39892,LA,Loranger,1
315,1,1,30.05547,-91.73833,LA,Loreauville,66
584,1,1,33.12407,-89.05539,MS,Louisville,10
56,1,1,30.62097,-87.753,AL,Loxley,2
695,1,1,33.58451,-101.84501,TX,Lubbock,73
522,1,1,30.92433,-88.59289,MS,Lucedale,126
628,1,1,30.92433,-88.59289,MS,Lucedale,2
747,1,1,31.34239,-94.71826,TX,Lufkin,17
291,1,1,29.93417,-90.36453,LA,Luling,121
437,1,1,29.93417,-90.36453,LA,Luling,2
748,1,1,30.26745,-94.19987,TX,Lumberton,17
854,1,1,30.26745,-94.19987,TX,Lumberton,2
137,1,1,28.15235,-82.4615,FL,Lutz,18
189,1,1,30.24145,-85.64876,FL,Lynn Haven,3
15,1,1,34.70658,-86.75095,AL,Madison,34
204,1,1,30.46909,-83.41003,FL,Madison,1
501,1,1,32.46322,-90.1192,MS,Madison,593
557,1,1,32.46322,-90.1192,MS,Madison,30
279,1,1,30.40867,-90.1595,LA,Madisonville,151
652,1,1,31.872,-89.73131,MS,Magee,1
606,1,1,31.14433,-90.4611,MS,Magnolia,4
799,1,1,30.21101,-95.7544,TX,Magnolia,5
112,1,1,28.62736,-81.36454,FL,Maitland,55
392,1,1,30.62981,-92.41952,LA,Mamou,7
838,1,1,30.14047,-97.83703,TX,Manchaca,2
272,1,1,30.3725,-90.07911,LA,Mandeville,214
413,1,1,30.3725,-90.07911,LA,Mandeville,5
410,1,1,32.03526,-93.71082,LA,Mansfield,5
464,1,1,32.03526,-93.71082,LA,Mansfield,1
816,1,1,32.56508,-97.14186,TX,Mansfield,3
340,1,1,31.56868,-93.48012,LA,Many,32
401,1,1,31.56868,-93.48012,LA,Many,7
108,1,1,30.77538,-85.22682,FL,Marianna,71
455,1,1,30.49073,-91.52046,LA,Maringouin,1
326,1,1,31.12493,-92.06243,LA,Marksville,51
461,1,1,31.12493,-92.06243,LA,Marksville,1
238,1,1,29.90276,-90.10973,LA,Marrero,704
297,1,1,29.90276,-90.10973,LA,Marrero,103
